977.2212 	DATA 	Keypress: 5
977.6795 	DATA 	Keypress: 5
978.1372 	DATA 	Keypress: 5
978.5873 	DATA 	Keypress: 5
979.0540 	DATA 	Keypress: 5
979.5044 	DATA 	Keypress: 5
979.9626 	DATA 	Keypress: 5
980.4212 	DATA 	Keypress: 5
980.8796 	DATA 	Keypress: 5
981.3387 	DATA 	Keypress: 5
981.8212 	DATA 	Keypress: 5
982.2795 	DATA 	Keypress: 5
982.7384 	DATA 	Keypress: 5
983.1880 	DATA 	Keypress: 5
983.6545 	DATA 	Keypress: 5
984.1041 	DATA 	Keypress: 5
984.5628 	DATA 	Keypress: 5
985.0213 	DATA 	Keypress: 5
985.4796 	DATA 	Keypress: 5
985.9384 	DATA 	Keypress: 5
986.4216 	DATA 	Keypress: 5
986.8796 	DATA 	Keypress: 5
987.3382 	DATA 	Keypress: 5
987.7887 	DATA 	Keypress: 5
988.2544 	DATA 	Keypress: 5
988.7043 	DATA 	Keypress: 5
989.1625 	DATA 	Keypress: 5
989.6211 	DATA 	Keypress: 5
990.0796 	DATA 	Keypress: 5
990.5385 	DATA 	Keypress: 5
991.0216 	DATA 	Keypress: 5
991.4787 	DATA 	Keypress: 5
991.9385 	DATA 	Keypress: 5
992.3884 	DATA 	Keypress: 5
992.8545 	DATA 	Keypress: 5
993.3045 	DATA 	Keypress: 5
993.7626 	DATA 	Keypress: 5
994.2218 	DATA 	Keypress: 5
994.6796 	DATA 	Keypress: 5
995.1384 	DATA 	Keypress: 5
995.6215 	DATA 	Keypress: 5
996.0797 	DATA 	Keypress: 5
996.5383 	DATA 	Keypress: 5
996.9887 	DATA 	Keypress: 5
997.4546 	DATA 	Keypress: 5
997.9042 	DATA 	Keypress: 5
998.3625 	DATA 	Keypress: 5
998.8213 	DATA 	Keypress: 5
999.2796 	DATA 	Keypress: 5
999.7385 	DATA 	Keypress: 5
1000.2213 	DATA 	Keypress: 5
1000.6796 	DATA 	Keypress: 5
1001.1385 	DATA 	Keypress: 5
1001.5887 	DATA 	Keypress: 5
1002.0547 	DATA 	Keypress: 5
1002.5040 	DATA 	Keypress: 5
1002.9626 	DATA 	Keypress: 5
1003.4218 	DATA 	Keypress: 5
1003.8797 	DATA 	Keypress: 5
1004.3385 	DATA 	Keypress: 5
1004.8215 	DATA 	Keypress: 5
1005.2796 	DATA 	Keypress: 5
1005.7386 	DATA 	Keypress: 5
1006.1885 	DATA 	Keypress: 5
1006.6541 	DATA 	Keypress: 5
1007.1046 	DATA 	Keypress: 5
1007.5626 	DATA 	Keypress: 5
1008.0215 	DATA 	Keypress: 5
1008.4797 	DATA 	Keypress: 5
1008.9387 	DATA 	Keypress: 5
1009.4216 	DATA 	Keypress: 5
1009.8796 	DATA 	Keypress: 5
1010.3386 	DATA 	Keypress: 5
1010.7887 	DATA 	Keypress: 5
1011.2544 	DATA 	Keypress: 5
1011.7041 	DATA 	Keypress: 5
1012.1627 	DATA 	Keypress: 5
1012.6216 	DATA 	Keypress: 5
1013.0797 	DATA 	Keypress: 5
1013.5386 	DATA 	Keypress: 5
1014.0212 	DATA 	Keypress: 5
1014.4797 	DATA 	Keypress: 5
1014.9383 	DATA 	Keypress: 5
1015.3881 	DATA 	Keypress: 5
1015.8556 	DATA 	Keypress: 5
1016.3056 	DATA 	Keypress: 5
1016.7626 	DATA 	Keypress: 5
1017.2215 	DATA 	Keypress: 5
1017.6797 	DATA 	Keypress: 5
1018.1384 	DATA 	Keypress: 5
1018.6215 	DATA 	Keypress: 5
1019.0797 	DATA 	Keypress: 5
1019.5385 	DATA 	Keypress: 5
1019.9883 	DATA 	Keypress: 5
1020.4557 	DATA 	Keypress: 5
1020.9052 	DATA 	Keypress: 5
1021.3626 	DATA 	Keypress: 5
