square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",166.78681870002765,168.7868367000483,166.78681870002765,167.78682720009238,167.7701760000782,168.77018260001205,"[0, 0, 0]",1,166.78681870002765,168.7868367000483,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,168.82018570008222,None,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71604938271605,155.64294594014063,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",None,0,0,0,0,186.0698766000569,None,None,None,"[0, 0, 0]",188.8536715999944,190.853705800022,188.8536715999944,189.8536750000203,189.8536750000203,190.853705800022,"[0, 0, 0]",0,188.8536715999944,190.853705800022,,,,,,,,,,,,,,,,,0.013502159854397178,5.009791359887458,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",190.87037130002864,192.87033380009234,190.87037130002864,191.87036820000503,191.85369950009044,192.85369680006988,"[0, 0, 0]",0,190.87037130002864,192.87033380009234,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",192.8870551000582,194.88708530005533,192.8870551000582,193.88706540002022,193.87040150002576,194.87051070004236,"[0, 0, 0]",1,192.8870551000582,194.88708530005533,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",194.90373620006721,196.90374740003608,194.90373620006721,195.9037318000337,195.8870767999906,196.88709460000973,"[0, 0, 0]",1,194.90373620006721,196.90374740003608,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",196.95398180000484,None,196.95398180000484,197.95374980010092,197.93709240003955,None,"[0, 0, 0]",1,196.95398180000484,None,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",198.93711520009674,200.93712960008997,198.93711520009674,199.93710189999547,199.92043320008088,200.92050380003639,"[0, 0, 0]",1,198.93711520009674,200.93712960008997,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",200.95378930005245,202.9538109001005,200.95378930005245,201.9537971999962,201.93714860000182,202.93713500001468,"[0, 0, 0]",1,200.95378930005245,202.9538109001005,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
