RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,59,59,59,,,,,,,,,,,790.2185428999364,None,790.2185428999364,791.2185513000004,791.2018834999762,792.2018861999968,None,1,790.2185428999364,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,60,60,60,,,,,,,,,,,792.2185656999936,None,792.2185656999936,793.2185708999168,793.2018809999572,794.2018912999192,None,1,792.2185656999936,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,61,61,61,,,,,,,,,,,794.2185629999731,None,794.2185629999731,795.2186107999878,795.2019109999528,796.2019773999928,None,1,794.2185629999731,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,62,62,62,,,,,,,,,,,796.218599399901,None,796.218599399901,797.2186135998927,797.2019387999317,798.2019420999568,None,1,796.218599399901,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,63,63,63,,,,,,,,,,,798.2186161999125,None,798.2186161999125,799.2186100999825,799.2019332000054,800.2019433999667,None,1,798.2186161999125,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,64,64,64,,,,,,,,,,,800.2186254999833,None,800.2186254999833,801.2186384999659,801.2019789000042,802.2019597999752,None,1,800.2186254999833,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,65,65,65,,,,,,,,,,,802.2186524999561,None,802.2186524999561,803.218655899982,803.2019887999631,804.2019944000058,None,0,802.2186524999561,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,66,66,66,,,,,,,,,,,804.2186646999326,None,804.2186646999326,805.2186808999395,805.2019822999137,806.2020011999412,None,1,804.2186646999326,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,67,67,67,,,,,,,,,,,806.2186675999546,None,806.2186675999546,807.2186894000042,807.2020049999701,808.2020056999754,None,1,806.2186675999546,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,68,68,68,,,,,,,,,,,808.2186824999517,None,808.2186824999517,809.2186996999662,809.2020419999026,810.2020259998972,None,1,808.2186824999517,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,69,69,69,,,,,,,,,,,810.2187172999838,None,810.2187172999838,811.2187102999305,811.2020561998943,812.202060099924,None,1,810.2187172999838,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
