square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",245.0573670999147,247.0573732999619,245.0573670999147,246.05733049986884,246.04070189991035,247.04071759991348,"[0, 0, 0]",0,245.0573670999147,247.0573732999619,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,247.09070599987172,None,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.24691358024692,236.12741462001577,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",None,0,0,0,0,262.3741928997915,None,None,None,"[0, 0, 0]",267.1575565999374,None,267.1575565999374,268.1575577999465,268.14092319994234,269.14093029988,"[0, 0, 0]",1,267.1575565999374,None,,,,,,,,,,,,,,,,,,,0.012430780101567507,5.007294879993424,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",269.1575764999725,271.15758949983865,269.1575764999725,270.1575803998858,270.14092289982364,271.14095109980553,"[0, 0, 0]",1,269.1575764999725,271.15758949983865,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",271.17426129989326,273.1742786997929,271.17426129989326,272.1742681998294,272.1576053998433,273.15760249993764,"[0, 0, 0]",0,271.17426129989326,273.1742786997929,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",273.19095979980193,275.1910069999285,273.19095979980193,274.1909564998932,274.17427729978226,275.17429629992694,"[0, 0, 0]",0,273.19095979980193,275.1910069999285,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",275.24099229997955,None,275.24099229997955,276.2409736998379,276.22429919987917,None,"[0, 0, 0]",0,275.24099229997955,None,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",277.2243150998838,279.22434019995853,277.2243150998838,278.22431939980015,278.20760679990053,279.2076514000073,"[0, 0, 0]",0,277.2243150998838,279.22434019995853,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",279.2410089999903,281.2410106000025,279.2410089999903,280.24102789978497,280.2243415999692,281.2243435999844,"[0, 0, 0]",0,279.2410089999903,281.2410106000025,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
